drug1_id,drug1,drug2_id,drug2,drug2_in_scope,severity
metformin,Metformin,topiramate,Topiramate,no,Moderate
metformin,Metformin,acetazolamide,Acetazolamide,no,Moderate
metformin,Metformin,alcohol,Alcohol,no,Moderate
metformin,Metformin,iodinated-contrast-agents,Iodinated contrast agents,no,Mild
metformin,Metformin,cimetidine,Cimetidine,no,Moderate
glipizide,Glipizide,fluconazole,Fluconazole,no,Moderate
glipizide,Glipizide,miconazole,Miconazole,no,Moderate
glipizide,Glipizide,nsaids,NSAIDs,no,Mild
glipizide,Glipizide,warfarin,Warfarin,no,Mild
glipizide,Glipizide,salicylates,Salicylates,no,Mild
glipizide,Glipizide,beta-blockers,Beta-blockers,no,Mild
glipizide,Glipizide,rifampin,Rifampin,no,Moderate
glimepiride,Glimepiride,fluconazole,Fluconazole,no,Severe
glimepiride,Glimepiride,gemfibrozil,Gemfibrozil,no,Severe
glimepiride,Glimepiride,ace-inhibitors,ACE inhibitors,no,Mild
glimepiride,Glimepiride,salicylates,Salicylates,no,Mild
glimepiride,Glimepiride,corticosteroids,Corticosteroids,no,Mild
glimepiride,Glimepiride,thiazides,Thiazides,no,Mild
sitagliptin,Sitagliptin,digoxin,Digoxin,no,Moderate
sitagliptin,Sitagliptin,insulin,Insulin,no,Moderate
sitagliptin,Sitagliptin,sulfonylureas,Sulfonylureas,no,Moderate
empagliflozin,Empagliflozin,insulin,Insulin,no,Moderate
empagliflozin,Empagliflozin,insulin-secretagogues,Insulin Secretagogues,no,Moderate
empagliflozin,Empagliflozin,diuretics,Diuretics,no,Moderate
empagliflozin,Empagliflozin,rifampin,Rifampin,no,Moderate
pioglitazone,Pioglitazone,gemfibrozil,Gemfibrozil,no,Severe
pioglitazone,Pioglitazone,rifampin,Rifampin,no,Moderate
pioglitazone,Pioglitazone,insulin,Insulin,no,Moderate
insulin-glargine,Insulin Glargine,beta-blockers,Beta-blockers,no,Moderate
insulin-glargine,Insulin Glargine,ace-inhibitors,ACE inhibitors,no,Moderate
insulin-glargine,Insulin Glargine,salicylates,Salicylates,no,Moderate
insulin-glargine,Insulin Glargine,mao-inhibitors,MAO inhibitors,no,Moderate
insulin-glargine,Insulin Glargine,corticosteroids,Corticosteroids,no,Mild
insulin-glargine,Insulin Glargine,thiazides,Thiazides,no,Mild
insulin-glargine,Insulin Glargine,atypical-antipsychotics,Atypical Antipsychotics,no,Mild
dapagliflozin,Dapagliflozin,insulin,Insulin,no,Moderate
dapagliflozin,Dapagliflozin,sulfonylureas,Sulfonylureas,no,Moderate
dapagliflozin,Dapagliflozin,diuretics,Diuretics,no,Moderate
dapagliflozin,Dapagliflozin,mefenamic-acid,Mefenamic Acid,no,Moderate
vildagliptin,Vildagliptin,insulin,Insulin,no,Moderate
vildagliptin,Vildagliptin,sulfonylureas,Sulfonylureas,no,Moderate
vildagliptin,Vildagliptin,ace-inhibitors,ACE inhibitors,no,Moderate
acarbose,Acarbose,amylase,Amylase,no,Severe
acarbose,Acarbose,pancreatin,Pancreatin,no,Severe
acarbose,Acarbose,activated-charcoal,Activated charcoal,no,Moderate
acarbose,Acarbose,digoxin,Digoxin,no,Moderate
amlodipine,Amlodipine,ketoconazole,Ketoconazole,no,Moderate
