drug_id,drug_name,side_effect
metformin,Metformin,Diarrhea
metformin,Metformin,nausea
metformin,Metformin,vomiting
metformin,Metformin,flatulence
metformin,Metformin,abdominal discomfort
metformin,Metformin,indigestion
metformin,Metformin,headache
metformin,Metformin,decreased vitamin B12 absorption (long-term use)
metformin,Metformin,metallic taste
metformin,Metformin,lactic acidosis
glipizide,Glipizide,Hypoglycemia (most common)
glipizide,Glipizide,nausea
glipizide,Glipizide,diarrhea
glipizide,Glipizide,constipation
glipizide,Glipizide,dizziness
glipizide,Glipizide,headache
glipizide,Glipizide,skin rash
glipizide,Glipizide,photosensitivity
glipizide,Glipizide,weight gain
glipizide,Glipizide,blood dyscrasias
glipizide,Glipizide,hepatotoxicity
glipizide,Glipizide,hyponatremia (SIADH)
glimepiride,Glimepiride,Hypoglycemia
glimepiride,Glimepiride,dizziness
glimepiride,Glimepiride,headache
glimepiride,Glimepiride,nausea
glimepiride,Glimepiride,asthenia
glimepiride,Glimepiride,weight gain
glimepiride,Glimepiride,"skin reactions (pruritus, erythema, urticaria)"
glimepiride,Glimepiride,leukopenia
glimepiride,Glimepiride,agranulocytosis
glimepiride,Glimepiride,thrombocytopenia
glimepiride,Glimepiride,hemolytic anemia
sitagliptin,Sitagliptin,Nasopharyngitis
sitagliptin,Sitagliptin,upper respiratory tract infection
sitagliptin,Sitagliptin,headache
sitagliptin,Sitagliptin,urinary tract infection
sitagliptin,Sitagliptin,acute pancreatitis
sitagliptin,Sitagliptin,severe joint pain (arthralgia)
sitagliptin,Sitagliptin,bullous pemphigoid
sitagliptin,Sitagliptin,"hypersensitivity reactions (anaphylaxis, angioedema)"
empagliflozin,Empagliflozin,Urinary tract infections
empagliflozin,Empagliflozin,genital mycotic infections (candidiasis)
empagliflozin,Empagliflozin,increased urination
empagliflozin,Empagliflozin,nasopharyngitis
empagliflozin,Empagliflozin,dyslipidemia
empagliflozin,Empagliflozin,nausea
empagliflozin,Empagliflozin,diabetic ketoacidosis (even with near-normal glucose)
empagliflozin,Empagliflozin,Fournier's gangrene
empagliflozin,Empagliflozin,lower limb amputation risk
pioglitazone,Pioglitazone,Weight gain
pioglitazone,Pioglitazone,edema
pioglitazone,Pioglitazone,upper respiratory infection
pioglitazone,Pioglitazone,headache
pioglitazone,Pioglitazone,sinusitis
pioglitazone,Pioglitazone,fluid retention/heart failure exacerbation
pioglitazone,Pioglitazone,bone fractures (especially in women)
