drug_id,drug_name,disease_id
metformin,Metformin,type_2_diabetes
glipizide,Glipizide,type_2_diabetes
glimepiride,Glimepiride,type_2_diabetes
sitagliptin,Sitagliptin,type_2_diabetes
empagliflozin,Empagliflozin,type_2_diabetes
pioglitazone,Pioglitazone,type_2_diabetes
insulin-glargine,Insulin Glargine,type_2_diabetes
dapagliflozin,Dapagliflozin,type_2_diabetes
vildagliptin,Vildagliptin,type_2_diabetes
acarbose,Acarbose,type_2_diabetes
amlodipine,Amlodipine,hypertension
losartan,Losartan,hypertension
enalapril,Enalapril,hypertension
telmisartan,Telmisartan,hypertension
hydrochlorothiazide,Hydrochlorothiazide,hypertension
atenolol,Atenolol,hypertension
ramipril,Ramipril,hypertension
chlorthalidone,Chlorthalidone,hypertension
carvedilol,Carvedilol,hypertension
clonidine,Clonidine,hypertension
ibuprofen,Ibuprofen,arthritis
diclofenac,Diclofenac,arthritis
naproxen,Naproxen,arthritis
methotrexate,Methotrexate,arthritis
hydroxychloroquine,Hydroxychloroquine,arthritis
celecoxib,Celecoxib,arthritis
sulfasalazine,Sulfasalazine,arthritis
prednisolone,Prednisolone,arthritis
leflunomide,Leflunomide,arthritis
colchicine,Colchicine,arthritis
