drug_id,drug_name,disease_id,generic_name,disease,drug_class,active_ingredient,description,side_effects,contraindications,warnings,major_interactions,source,language
metformin,Metformin,type_2_diabetes,metformin hydrochloride,Type 2 Diabetes,Biguanide,Metformin Hydrochloride,"Metformin is usually the first medicine doctors try for type 2 diabetes. It works by telling the liver to release less sugar into the blood, and it helps the body's cells respond better to insulin so they take in more sugar from the blood. On its own, it's very unlikely to make your blood sugar drop too low. (Source: FDA label; ICMR Diabetes Guidelines 2018)","Common: diarrhea, nausea, vomiting, gas, stomach discomfort, indigestion, headache, a metallic taste in the mouth. Taking it long-term can lower your vitamin B12 levels. Rare but serious: a dangerous buildup of acid in the blood called lactic acidosis. (Source: FDA DailyMed label; SIDER)","Avoid if you have poor kidney function, are in diabetic ketoacidosis (a dangerous high-sugar emergency), or are allergic to metformin. You'll need to stop it for a short time before and after a scan that uses injected contrast dye. (Source: FDA label)","IMPORTANT: Metformin carries a rare but potentially fatal risk of lactic acidosis (a dangerous acid buildup in the blood). This risk is higher if you have kidney or liver problems, heart failure, drink alcohol, or are 65 or older. Your doctor will usually stop this medicine before surgery or a contrast dye scan. (Source: FDA DailyMed boxed warning)","Certain seizure/glaucoma medicines (topiramate, acetazolamide) raise the risk of lactic acidosis. Alcohol also raises this risk. Contrast dye used in scans requires pausing metformin for about 48 hours before and after. Cimetidine (an acid-reflux medicine) can raise metformin levels in your blood. (Source: RxNav/DrugBank DDI)",FDA DailyMed; DrugBank DB00331; RxNorm CUI 41493; ICMR 2018,en
glipizide,Glipizide,type_2_diabetes,glipizide,Type 2 Diabetes,Sulfonylurea (2nd generation),Glipizide,"Glipizide helps a type 2 diabetic's pancreas release more insulin, which lowers blood sugar. It's usually added alongside diet and exercise changes. (Source: FDA label; DrugBank)","Most common: blood sugar dropping too low (hypoglycemia). Also nausea, diarrhea, constipation, dizziness, headache, skin rash, sun sensitivity, weight gain. Rare: blood disorders, liver problems, low sodium levels. (Source: FDA DailyMed label; SIDER)","Not for type 1 diabetes or diabetic ketoacidosis (a diabetes emergency). Avoid if allergic to glipizide or sulfa drugs, or if you have severe kidney or liver problems. Not recommended in pregnancy. (Source: FDA label)","The main risk is blood sugar dropping too low, which is more likely in elderly or frail patients, those with kidney/liver problems, irregular meals, hard exercise, or alcohol use. Some studies link this drug class to a higher risk of heart-related death. People with a G6PD enzyme deficiency can develop anemia from red blood cell breakdown. (Source: FDA DailyMed)","Antifungal medicines fluconazole and miconazole can push your blood sugar too low. So can NSAID painkillers, warfarin, and aspirin-type medicines. Beta-blockers (heart/BP medicines) can hide the warning signs of low blood sugar. Rifampin (an antibiotic) can make glipizide work less well. (Source: RxNav/DrugBank DDI)",FDA DailyMed; DrugBank DB01067; RxNorm CUI 4815,en
glimepiride,Glimepiride,type_2_diabetes,glimepiride,Type 2 Diabetes,Sulfonylurea (3rd generation),Glimepiride,"Glimepiride helps the pancreas release more insulin to lower blood sugar in type 2 diabetes. It carries a somewhat lower risk of blood sugar dropping too low compared with older similar drugs, and can be used alone or together with metformin or insulin. (Source: FDA label; DrugBank)","Blood sugar dropping too low, dizziness, headache, nausea, weakness, weight gain, skin reactions (itching, redness, hives). Rare: drops in white blood cells or platelets, and anemia from red blood cell breakdown. (Source: FDA label; SIDER)","Not for type 1 diabetes or diabetic ketoacidosis. Avoid if allergic to glimepiride or sulfa drugs, if you have severely reduced kidney function, or liver problems. (Source: FDA label)","Low blood sugar is the main risk, especially with skipped meals, kidney/liver problems, or in elderly patients. People with a G6PD enzyme deficiency can develop anemia. Some data links this drug class to a higher risk of heart-related death. (Source: FDA DailyMed)","Certain antifungal and cholesterol medicines (fluconazole, gemfibrozil) can raise glimepiride levels significantly. Blood-pressure medicines (ACE inhibitors) and aspirin-type medicines can push blood sugar lower. Steroids and water pills (thiazides) work against it, raising blood sugar. (Source: DrugBank; RxNav)",FDA DailyMed; DrugBank DB00222; RxNorm CUI 25789,en
sitagliptin,Sitagliptin,type_2_diabetes,sitagliptin phosphate,Type 2 Diabetes,DPP-4 Inhibitor (Gliptin),Sitagliptin Phosphate Monohydrate,"Sitagliptin (brand name Januvia) helps the body release more of its own insulin after meals and reduces a hormone that raises blood sugar — but only when blood sugar is actually high, so it rarely causes it to drop too low on its own. Used alone or added to other diabetes medicines. (Source: FDA label; DrugBank)","Common cold-like symptoms, sore throat, headache, urinary tract infections. Rare but serious: inflamed pancreas (pancreatitis), severe joint pain, a blistering skin reaction, or a serious allergic reaction. (Source: FDA DailyMed; SIDER)",Avoid if you've had a serious allergic reaction to sitagliptin. Use carefully if you've had pancreatitis before. Not for type 1 diabetes or diabetic ketoacidosis. (Source: FDA label),Stop the medicine and contact your doctor right away if you develop signs of pancreatitis (severe stomach pain). Some patients report severe joint pain. Use cautiously if you already have heart failure. People with reduced kidney function need a lower dose. (Source: FDA DailyMed),May slightly raise levels of digoxin (a heart medicine) — your doctor may want to monitor this. Combining with insulin or sulfonylurea diabetes drugs raises the risk of blood sugar dropping too low. No major interactions through liver enzyme pathways. (Source: FDA label; RxNav),FDA DailyMed; DrugBank DB01261; RxNorm CUI 593411,en
empagliflozin,Empagliflozin,type_2_diabetes,empagliflozin,Type 2 Diabetes,SGLT-2 Inhibitor,Empagliflozin,"Empagliflozin (brand name Jardiance) works in the kidneys, making the body pass out extra sugar in urine instead of absorbing it back into the blood. It also has proven benefits for the heart and kidneys in people with type 2 diabetes. (Source: FDA label; DrugBank)","Urinary tract infections, genital yeast infections, needing to urinate more often, cold-like symptoms, high cholesterol, nausea. Rare but serious: diabetic ketoacidosis (even with only mildly high blood sugar), a rare but severe genital infection called Fournier's gangrene, and a possible increased risk of lower-leg amputation. (Source: FDA DailyMed; SIDER)","Not for people with significantly reduced kidney function, dialysis patients, or those with a serious allergy to empagliflozin. Not for type 1 diabetes. (Source: FDA label)","Can trigger diabetic ketoacidosis even when blood sugar looks nearly normal — your doctor may pause it before surgery. Watch for sudden pain or swelling around the genitals or between the legs, which could signal the rare Fournier's gangrene infection — seek care immediately. Can cause dehydration/low blood pressure, especially with water pills or in older adults. Report any foot or leg wounds promptly. (Source: FDA DailyMed)",Combining with insulin or other insulin-boosting diabetes drugs raises the risk of blood sugar dropping too low — your dose may need adjusting. Water pills (diuretics) combined with this can increase dehydration and low blood pressure risk. The antibiotic rifampin and similar drugs may make it work less well. (Source: FDA label; DrugBank),FDA DailyMed; DrugBank DB09038; RxNorm CUI 1373463,en
pioglitazone,Pioglitazone,type_2_diabetes,pioglitazone hydrochloride,Type 2 Diabetes,Thiazolidinedione (TZD / Glitazone),Pioglitazone Hydrochloride,"Pioglitazone (brand name Actos) makes the body's tissues and liver more sensitive to insulin, helping lower blood sugar without pushing the pancreas to release more insulin. (Source: FDA label; DrugBank)","Weight gain, fluid swelling, cold-like symptoms, headache, sinus infection. Serious: fluid buildup that can worsen or trigger heart failure, bone fractures (especially in women), vision changes from fluid behind the eye, and a possible increased risk of bladder cancer with long-term use. (Source: FDA DailyMed; SIDER)","Not for people with moderate-to-severe heart failure, active or past bladder cancer, or a known allergy to pioglitazone. Not for type 1 diabetes. (Source: FDA label)","IMPORTANT: Can cause or worsen heart failure by causing fluid retention — watch for swelling, sudden weight gain, or shortness of breath. Do not use if you currently have bladder cancer. Women taking this long-term have a higher risk of bone fractures. Get regular eye checks, since it can affect vision. (Source: FDA DailyMed boxed warning)",Gemfibrozil (a cholesterol medicine) significantly raises pioglitazone levels — the dose is usually limited to 15 mg/day if combined. The antibiotic rifampin makes it less effective. Combining with insulin raises the risk of fluid retention and heart failure. (Source: FDA label; DrugBank),FDA DailyMed; DrugBank DB01132; RxNorm CUI 33738,en
insulin-glargine,Insulin Glargine,type_2_diabetes,insulin glargine,Type 2 Diabetes,Long-acting Basal Insulin Analog,Insulin Glargine (rDNA origin),"Insulin glargine (brand names Lantus, Basaglar) is a long-acting, man-made insulin. One injection under the skin lasts about 24 hours with a fairly steady effect, giving background blood-sugar control for both type 1 and type 2 diabetes. (Source: FDA label; DrugBank)","Blood sugar dropping too low is the most common and most serious effect. Also injection-site reactions (pain, redness, swelling, or skin changes), weight gain, fluid swelling, low potassium levels, and allergic reactions. (Source: FDA DailyMed; SIDER)","Don't use if you're allergic to insulin glargine or its ingredients, or if you're currently experiencing low blood sugar. Not for injection into a vein. (Source: FDA label)","Low blood sugar is the biggest risk and can be life-threatening if severe — know the warning signs (shakiness, sweating, confusion). Never mix this insulin with other insulins in the same syringe. If you're at risk of low potassium, your levels should be checked. Any change to your insulin routine should be made carefully and with medical guidance. (Source: FDA DailyMed)","Beta-blockers (heart/BP medicines) can hide the warning signs of low blood sugar and slow recovery from it. Certain blood pressure medicines, aspirin-type drugs, and some antidepressants can make insulin work more strongly, raising the risk of blood sugar dropping too low. Steroids, water pills, and some psychiatric medicines work against it, raising blood sugar. (Source: FDA label; RxNav)",FDA DailyMed; DrugBank DB00047; RxNorm CUI 274783,en
dapagliflozin,Dapagliflozin,type_2_diabetes,dapagliflozin,Type 2 Diabetes,SGLT-2 Inhibitor,Dapagliflozin Propanediol,"Dapagliflozin (brand names Farxiga/Forxiga) makes the kidneys release more sugar into the urine instead of reabsorbing it, lowering blood sugar. It's also approved to help certain types of heart failure and chronic kidney disease, even in people who don't have diabetes. (Source: FDA label; DrugBank)","Genital yeast infections (more common in women), urinary tract infections, cold-like symptoms, back pain, needing to urinate more often, nausea, high cholesterol. Rare: diabetic ketoacidosis, the rare severe genital infection Fournier's gangrene, and severe urinary infections. (Source: FDA DailyMed; SIDER)","Not for people with severely reduced kidney function, end-stage kidney disease, dialysis patients, or type 1 diabetes (for blood-sugar use). Avoid if allergic to dapagliflozin. (Source: FDA label)","Can trigger diabetic ketoacidosis even when blood sugar looks close to normal. Can cause dehydration or low blood pressure, especially in older adults or those on water pills. Seek immediate care for sudden pain, swelling, or redness around the genitals, which could be the rare but serious Fournier's gangrene infection. Report any signs of a severe urinary infection (fever, back pain). (Source: FDA DailyMed)","Combining with insulin or sulfonylurea diabetes drugs raises the risk of blood sugar dropping too low. Water pills combined with this can worsen dehydration. Certain other medicines (like mefenamic acid, a painkiller) may raise dapagliflozin levels. (Source: FDA label; DrugBank)",FDA DailyMed; DrugBank DB06292; RxNorm CUI 1488564,en
vildagliptin,Vildagliptin,type_2_diabetes,vildagliptin,Type 2 Diabetes,DPP-4 Inhibitor (Gliptin),Vildagliptin,"Vildagliptin (brand name Galvus) is a commonly used diabetes medicine in India and Europe that helps the body release more of its own insulin after meals and lowers a hormone that raises blood sugar, without pushing blood sugar too low on its own. Often added on top of metformin. (Source: DrugBank; CDSCO)","Cold-like symptoms, headache, dizziness, fluid swelling, nausea. Can raise liver enzyme levels, so liver function needs monitoring. Rare: inflamed pancreas, severe skin reactions, upper respiratory infections. (Source: DrugBank; EMA label)","Not for people with significant liver problems, severe kidney impairment (unless the dose is adjusted), a known allergy to vildagliptin, type 1 diabetes, or diabetic ketoacidosis. (Source: EMA label; DrugBank)","Your doctor should check your liver function before starting and periodically during treatment, and stop the medicine if liver problems develop. Contact your doctor if you develop severe stomach pain, which could signal pancreatitis. (Source: EMA SmPC; DrugBank DB04876)",Combining with insulin or sulfonylurea diabetes drugs may need a lower dose of those drugs to avoid blood sugar dropping too low. ACE inhibitor blood-pressure medicines have been linked to a higher risk of swelling reactions (angioedema) when combined. No major liver-enzyme-based drug interactions. (Source: DrugBank; EMA label),DrugBank DB04876; EMA SmPC; CDSCO approved list; RxNorm CUI 414864,en
acarbose,Acarbose,type_2_diabetes,acarbose,Type 2 Diabetes,Alpha-Glucosidase Inhibitor,Acarbose,"Acarbose (brand names Glucobay, Precose) slows down how quickly the gut breaks down and absorbs carbohydrates from food, which reduces how much blood sugar rises after meals. This can be especially useful with the high-carbohydrate diets common in India. (Source: FDA label; ICMR Diabetes Guidelines)","Very common: gas, stomach pain, diarrhea, and bloating — these are related to the dose and usually ease over time. Rare: raised liver enzymes, liver problems with high doses, bowel blockage. (Source: FDA DailyMed; SIDER)","Not for people with inflammatory bowel disease, bowel ulcers, partial bowel blockage, chronic digestive disorders, cirrhosis, significantly reduced kidney function, or type 1 diabetes. (Source: FDA label)","To reduce stomach side effects, doctors usually start at a low dose (25 mg) and increase it slowly. If your blood sugar drops too low while on this medicine combined with insulin or a sulfonylurea, you must treat it with pure glucose, not regular table sugar, since acarbose blocks the enzyme that breaks down table sugar. Liver enzymes should be checked periodically. (Source: FDA DailyMed)",Digestive enzyme supplements (like amylase or pancreatin) make acarbose less effective — avoid combining them. Activated charcoal also reduces its effect. It may lower the absorption of digoxin (a heart medicine). (Source: FDA label; DrugBank),FDA DailyMed; DrugBank DB00284; RxNorm CUI 16681; ICMR 2018,en
