patient_id,split
P00001,train
P00002,train
P00003,train
P00004,train
P00005,train
P00006,validation
P00007,train
P00008,train
P00009,train
P00010,test
P00011,train
P00012,train
P00013,train
P00014,train
P00015,train
P00016,train
P00017,train
P00018,train
P00019,train
P00020,train
P00021,train
P00022,train
P00023,train
P00024,test
P00025,train
P00026,train
P00027,test
P00028,train
P00029,train
P00030,test
P00031,train
P00032,train
P00033,train
P00034,train
P00035,train
P00036,train
P00037,train
P00038,train
P00039,train
P00040,train
P00041,train
P00042,train
P00043,train
P00044,train
P00045,validation
P00046,train
P00047,train
P00048,train
P00049,train
P00050,train
P00051,train
P00052,test
P00053,train
P00054,train
P00055,train
P00056,train
P00057,train
P00058,train
P00059,test
P00060,train
P00061,train
P00062,train
P00063,train
P00064,train
P00065,train
P00066,train
P00067,train
P00068,train
P00069,train
P00070,train
P00071,test
P00072,train
P00073,train
P00074,train
P00075,train
P00076,train
P00077,train
P00078,validation
P00079,train
P00080,train
P00081,train
P00082,train
P00083,train
P00084,train
P00085,test
P00086,train
P00087,train
P00088,train
P00089,train
P00090,train
P00091,train
P00092,train
P00093,train
P00094,train
P00095,train
P00096,train
P00097,train
P00098,train
P00099,train
P00100,train
P00101,train
P00102,train
P00103,train
P00104,test
P00105,train
P00106,train
P00107,train
P00108,validation
P00109,train
P00110,train
P00111,train
P00112,train
P00113,train
P00114,train
P00115,train
P00116,test
P00117,train
P00118,test
P00119,train
P00120,train
P00121,train
P00122,train
P00123,train
P00124,test
P00125,train
P00126,test
P00127,train
P00128,train
P00129,train
P00130,train
P00131,train
P00132,train
P00133,train
P00134,train
P00135,train
P00136,train
P00137,train
P00138,train
P00139,train
P00140,test
P00141,test
P00142,train
P00143,validation
P00144,train
P00145,test
P00146,train
P00147,train
P00148,validation
P00149,validation
P00150,train
P00151,train
P00152,train
P00153,train
P00154,train
P00155,train
P00156,train
P00157,train
P00158,validation
P00159,train
P00160,train
P00161,train
P00162,test
P00163,test
P00164,test
P00165,validation
P00166,train
P00167,train
P00168,train
P00169,validation
P00170,train
P00171,train
P00172,train
P00173,train
P00174,train
P00175,train
P00176,train
P00177,train
P00178,validation
P00179,train
P00180,train
P00181,train
P00182,validation
P00183,train
P00184,train
P00185,train
P00186,train
P00187,train
P00188,validation
P00189,train
P00190,train
P00191,train
P00192,train
P00193,train
P00194,train
P00195,train
P00196,train
P00197,train
P00198,train
P00199,train
P00200,train
P00201,train
P00202,train
P00203,train
P00204,train
P00205,train
P00206,train
P00207,train
P00208,train
P00209,train
P00210,train
P00211,train
P00212,train
P00213,train
P00214,train
P00215,train
P00216,train
P00217,train
P00218,train
P00219,train
P00220,train
P00221,train
P00222,train
P00223,train
P00224,train
P00225,train
P00226,train
P00227,train
P00228,train
P00229,train
P00230,train
P00231,train
P00232,train
P00233,train
P00234,test
P00235,train
P00236,test
P00237,test
P00238,train
P00239,train
P00240,train
P00241,train
P00242,train
P00243,train
P00244,train
P00245,train
P00246,train
P00247,test
P00248,train
P00249,train
P00250,train
P00251,train
P00252,train
P00253,train
P00254,train
P00255,train
P00256,train
P00257,train
P00258,train
P00259,train
P00260,validation
P00261,validation
P00262,train
P00263,validation
P00264,train
P00265,train
P00266,train
P00267,train
P00268,train
P00269,train
P00270,train
P00271,train
P00272,train
P00273,validation
P00274,train
P00275,train
P00276,train
P00277,train
P00278,test
P00279,validation
P00280,train
P00281,train
P00282,train
P00283,train
P00284,train
P00285,train
P00286,train
P00287,train
P00288,train
P00289,train
P00290,train
P00291,train
P00292,train
P00293,train
P00294,train
P00295,validation
P00296,validation
P00297,train
P00298,train
P00299,train
P00300,test
P00301,validation
P00302,test
P00303,train
P00304,train
P00305,train
P00306,validation
P00307,train
P00308,train
P00309,train
P00310,train
P00311,train
P00312,train
P00313,train
P00314,validation
P00315,train
P00316,train
P00317,train
P00318,test
P00319,train
P00320,train
P00321,validation
P00322,train
P00323,train
P00324,validation
P00325,train
P00326,test
P00327,validation
P00328,train
P00329,train
P00330,train
P00331,train
P00332,train
P00333,test
P00334,train
P00335,train
P00336,train
P00337,train
P00338,train
P00339,train
P00340,test
P00341,train
P00342,test
P00343,train
P00344,train
P00345,validation
P00346,train
P00347,train
P00348,train
P00349,train
P00350,train
P00351,validation
P00352,train
P00353,train
P00354,train
P00355,train
P00356,train
P00357,train
P00358,test
P00359,test
P00360,train
P00361,train
P00362,train
P00363,train
P00364,train
P00365,validation
P00366,train
P00367,train
P00368,test
P00369,train
P00370,train
P00371,train
P00372,train
P00373,train
P00374,train
P00375,train
P00376,train
P00377,train
P00378,train
P00379,validation
P00380,train
P00381,train
P00382,test
P00383,train
P00384,train
P00385,train
P00386,train
P00387,validation
P00388,train
P00389,test
P00390,test
P00391,train
P00392,train
P00393,train
P00394,train
P00395,train
P00396,train
P00397,train
P00398,train
P00399,train
P00400,test
P00401,train
P00402,train
P00403,train
P00404,train
P00405,train
P00406,train
P00407,validation
P00408,train
P00409,train
P00410,train
P00411,train
P00412,train
P00413,train
P00414,validation
P00415,train
P00416,train
P00417,train
P00418,train
P00419,train
P00420,validation
P00421,train
P00422,train
P00423,validation
P00424,train
P00425,train
P00426,train
P00427,train
P00428,validation
P00429,train
P00430,train
P00431,train
P00432,train
P00433,train
P00434,train
P00435,train
P00436,train
P00437,validation
P00438,train
P00439,test
P00440,validation
P00441,train
P00442,train
P00443,train
P00444,train
P00445,train
P00446,train
P00447,train
P00448,train
P00449,train
P00450,train
P00451,train
P00452,train
P00453,train
P00454,train
P00455,validation
P00456,train
P00457,test
P00458,train
P00459,train
P00460,train
P00461,train
P00462,train
P00463,train
P00464,train
P00465,train
P00466,train
P00467,train
P00468,train
P00469,train
P00470,train
P00471,test
P00472,validation
P00473,train
P00474,train
P00475,train
P00476,validation
P00477,train
P00478,train
P00479,train
P00480,train
P00481,train
P00482,train
P00483,test
P00484,train
P00485,train
P00486,train
P00487,train
P00488,train
P00489,test
P00490,train
P00491,train
P00492,train
P00493,train
P00494,train
P00495,train
P00496,train
P00497,train
P00498,test
P00499,train
P00500,train
P00501,train
P00502,train
P00503,train
P00504,train
P00505,validation
P00506,train
P00507,train
P00508,train
P00509,train
P00510,train
P00511,train
P00512,train
P00513,train
P00514,train
P00515,train
P00516,train
P00517,train
P00518,train
P00519,validation
P00520,test
P00521,test
P00522,test
P00523,train
P00524,train
P00525,train
P00526,train
P00527,train
P00528,train
P00529,train
P00530,test
P00531,train
P00532,train
P00533,validation
P00534,validation
P00535,train
P00536,train
P00537,train
P00538,train
P00539,train
P00540,test
P00541,train
P00542,train
P00543,validation
P00544,train
P00545,train
P00546,train
P00547,test
P00548,train
P00549,train
P00550,test
P00551,train
P00552,train
P00553,train
P00554,train
P00555,train
P00556,train
P00557,train
P00558,train
P00559,train
P00560,train
P00561,test
P00562,train
P00563,train
P00564,train
P00565,test
P00566,train
P00567,train
P00568,train
P00569,train
P00570,train
P00571,train
P00572,train
P00573,train
P00574,train
P00575,train
P00576,train
P00577,train
P00578,test
P00579,train
P00580,train
P00581,train
P00582,validation
P00583,train
P00584,train
P00585,test
P00586,train
P00587,train
P00588,train
P00589,train
P00590,train
P00591,test
P00592,train
P00593,train
P00594,train
P00595,train
P00596,train
P00597,train
P00598,train
P00599,train
P00600,train
P00601,train
P00602,train
P00603,train
P00604,train
P00605,train
P00606,train
P00607,validation
P00608,validation
P00609,validation
P00610,train
P00611,train
P00612,train
P00613,test
P00614,train
P00615,train
P00616,validation
P00617,train
P00618,train
P00619,train
P00620,train
P00621,train
P00622,train
P00623,train
P00624,train
P00625,train
P00626,train
P00627,train
P00628,train
P00629,train
P00630,test
P00631,train
P00632,train
P00633,train
P00634,train
P00635,train
P00636,test
P00637,test
P00638,validation
P00639,validation
P00640,train
P00641,train
P00642,test
P00643,train
P00644,validation
P00645,train
P00646,train
P00647,test
P00648,train
P00649,train
P00650,train
P00651,train
P00652,train
P00653,train
P00654,train
P00655,train
P00656,train
P00657,train
P00658,train
P00659,train
P00660,train
P00661,train
P00662,train
P00663,train
P00664,train
P00665,train
P00666,train
P00667,train
P00668,train
P00669,validation
P00670,test
P00671,train
P00672,validation
P00673,train
P00674,test
P00675,train
P00676,train
P00677,train
P00678,train
P00679,train
P00680,train
P00681,train
P00682,train
P00683,train
P00684,train
P00685,train
P00686,train
P00687,train
P00688,train
P00689,train
P00690,test
P00691,train
P00692,train
P00693,train
P00694,train
P00695,train
P00696,train
P00697,train
P00698,test
P00699,train
P00700,train
P00701,test
P00702,test
P00703,train
P00704,train
P00705,train
P00706,test
P00707,train
P00708,train
P00709,train
P00710,validation
P00711,validation
P00712,train
P00713,train
P00714,test
P00715,validation
P00716,test
P00717,train
P00718,train
P00719,train
P00720,train
P00721,train
P00722,validation
P00723,train
P00724,train
P00725,train
P00726,test
P00727,validation
P00728,train
P00729,train
P00730,train
P00731,train
P00732,train
P00733,train
P00734,train
P00735,train
P00736,test
P00737,train
P00738,train
P00739,train
P00740,train
P00741,train
P00742,train
P00743,train
P00744,train
P00745,train
P00746,train
P00747,train
P00748,train
P00749,train
P00750,train
P00751,train
P00752,train
P00753,train
P00754,train
P00755,validation
P00756,train
P00757,train
P00758,train
P00759,train
P00760,train
P00761,train
P00762,train
P00763,train
P00764,train
P00765,train
P00766,train
P00767,test
P00768,train
P00769,train
P00770,test
P00771,train
P00772,train
P00773,train
P00774,train
P00775,train
P00776,train
P00777,test
P00778,train
P00779,train
P00780,train
P00781,train
P00782,train
P00783,train
P00784,train
P00785,train
P00786,train
P00787,train
P00788,train
P00789,train
P00790,train
P00791,train
P00792,train
P00793,train
P00794,train
P00795,train
P00796,train
P00797,test
P00798,validation
P00799,train
P00800,train
P00801,train
P00802,train
P00803,train
P00804,train
P00805,validation
P00806,train
P00807,train
P00808,train
P00809,train
P00810,train
P00811,train
P00812,validation
P00813,train
P00814,test
P00815,train
P00816,validation
P00817,train
P00818,train
P00819,test
P00820,train
P00821,train
P00822,train
P00823,train
P00824,train
P00825,train
P00826,train
P00827,train
P00828,train
P00829,train
P00830,train
P00831,train
P00832,train
P00833,train
P00834,train
P00835,train
P00836,train
P00837,train
P00838,validation
P00839,validation
P00840,train
P00841,train
P00842,validation
P00843,train
P00844,train
P00845,train
P00846,train
P00847,train
P00848,train
P00849,train
P00850,test
P00851,train
P00852,train
P00853,train
P00854,train
P00855,test
P00856,train
P00857,validation
P00858,train
P00859,train
P00860,test
P00861,train
P00862,train
P00863,train
P00864,train
P00865,validation
P00866,train
P00867,train
P00868,train
P00869,train
P00870,train
P00871,train
P00872,train
P00873,train
P00874,train
P00875,train
P00876,train
P00877,train
P00878,validation
P00879,train
P00880,train
P00881,test
P00882,train
P00883,validation
P00884,test
P00885,test
P00886,train
P00887,train
P00888,train
P00889,train
P00890,validation
P00891,train
P00892,train
P00893,train
P00894,train
P00895,train
P00896,train
P00897,train
P00898,train
P00899,train
P00900,test
P00901,train
P00902,train
P00903,train
P00904,test
P00905,train
P00906,train
P00907,train
P00908,validation
P00909,train
P00910,train
P00911,train
P00912,train
P00913,train
P00914,train
P00915,train
P00916,test
P00917,validation
P00918,train
P00919,train
P00920,train
P00921,validation
P00922,train
P00923,train
P00924,validation
P00925,train
P00926,train
P00927,train
P00928,train
P00929,train
P00930,train
P00931,train
P00932,train
P00933,train
P00934,train
P00935,train
P00936,train
P00937,train
P00938,train
P00939,train
P00940,train
P00941,validation
P00942,train
P00943,train
P00944,train
P00945,test
P00946,train
P00947,train
P00948,train
P00949,train
P00950,train
P00951,train
P00952,train
P00953,train
P00954,train
P00955,validation
P00956,train
P00957,validation
P00958,train
P00959,train
P00960,train
P00961,test
P00962,test
P00963,test
P00964,train
P00965,train
P00966,train
P00967,train
P00968,train
P00969,train
P00970,train
P00971,train
P00972,train
P00973,train
P00974,train
P00975,train
P00976,validation
P00977,train
P00978,train
P00979,train
P00980,train
P00981,train
P00982,train
P00983,validation
P00984,train
P00985,train
P00986,train
P00987,train
P00988,train
P00989,test
P00990,train
P00991,train
P00992,train
P00993,train
P00994,test
P00995,test
P00996,test
P00997,train
P00998,train
P00999,train
P01000,train
P01001,train
P01002,validation
P01003,train
P01004,train
P01005,validation
P01006,train
P01007,train
P01008,validation
P01009,train
P01010,train
P01011,test
P01012,train
P01013,train
P01014,validation
P01015,train
P01016,train
P01017,train
P01018,train
P01019,train
P01020,train
P01021,train
P01022,train
P01023,validation
P01024,train
P01025,train
P01026,train
